References	Quantity	Manufacturer	Part Number	Description	Digikey	Mouser	RS	Newark	Farnell
C9, C11	2	Johanson	500R14N220JV4T	22pF capacitor ceramic	709-1143-1-ND	VJ0603A220KXQPW1BC		57J8958	
C1, C2, C4, C5, C6, C7	6	Yageo	CC0603KRX7R9BB104	100nF capacitor ceramic	311-1344-1-ND	CC0603KRX7R9BB104	6698767	68R4788	1362556
C3, C8	2	Murata	GRM188R60J105KA01D	1uF capacitor ceramic 6.3V	490-1550-1-ND	GRM188R60J105KA01D	6242682	57K9489	9527699
PC1, PC2	2	United Chemi-Con	EMVA250ADA470MF55G	47uF electrolytic capacitor SMT	565-2103-1-ND	EMVA250ADA470MF55G	7567973	76K1185	1698761
X1	1	CUI	PJ-102A	2.1mm DC power jack	CP-102A-ND	PJ102A			
X2	1	On Shore Technology	USB-B1HSW6	USB type B connector right-angle _ white	ED2982-ND				
JP2	1	FCI	67996-404HLF	Pin header 0.1_ 2x2	609-3390-ND	67996404HLF		75K3860	
ICSP, ICSP1	2	FCI	67996-406HLF	Pin header 0.1_ 2x3	609-3218-ND	67996406HLF		20M2191	1824424
AD	1	Harwin	M20-7820646	Socket strip 0.1_ 1x6	952-1809-ND	M207820646		55K6988	
IOL, POWER	2	3M	960108-6202-AR	Socket strip 0.1_ 1x8	3M9518-ND	9601086202AR	8277734	62R6734	1907848
IOH	1	Harwin	M20-7821046	Socket strip 0.1_ 1x10	952-1847-ND	M207821046	6816826	38K5906	7991959
Y1	1	Abracon	ABL-16.000MHZ-B2	16MHz 18pF	535-9041-ND	ABL16.000MHZB2		13J1628	1703603
D2, D3	2	Bourns	CD1206-S01575	Switching diode	CD1206-S01575CT-ND	CD1206S01575	7734514	02J1248	2211947
D1	1	Fairchild Semiconductor	S2J	Switching diode	S2JFSCT-ND	S2J	7103119	58K2394	2454585
L1	1	Murata	BLM21PG221SN1D	Ferrite 50mOhm@DC / 220ohm@100MHz	490-1054-1-ND	BLM21PG221SN1D	7241532	73M9167	1515661
F1	1	Bourns	MF-MSMF050-2	Fuse 500mA 15V	MF-MSMF050-2CT-ND	MFMSMF0502	6478156	87W6084	9350314
U3	1	Atmel	ATMEGA16U2-MUR	ATmega16U2 16kB FLASH	ATMEGA16U2-MURCT-ND	556ATMEGA16U2MUR		28X3310	
ZU4	1	Atmel	ATMEGA328P-PU	ATmega328P	ATMEGA328P-PU-ND	ATMEGA328PPU	6962260	68T2944	1715487
U5	1	Texas Instruments	LMV358IDGKR	Dual op-amp RRO	296-13455-1-ND	LMV358IDGKR	6606727	96W2925	2323295
U2	1	Texas Instruments	LP2985-33DBVR	150mA 3.3V LDO	296-18476-1-ND	LP298533DBVR		28X3574	2395925
U1	1	ON Semiconductor	NCP1117ST50T3G	1A 5V LDO	NCP1117ST50T3GOSCT-ND	NCP1117ST50T3G	8022130	71J6563	2112617
ON	1	Dialight	598-8160-107F	LED green	350-2043-1-ND	5988160107F		87M9438	1465994
L, RX, TX	3	Lite-On	LTST-C171KSKT	LED yellow	160-1428-1-ND	LTSTC171KSKT	6920950		
RN3	1	Bourns	CAY16-220J4LF	22ohm 4-resistor series array	CAY16-220J4LFCT-ND	CAY16220J4LF	5225620	41R4423	1770127
RN2, RN4	2	Bourns	CAY16-102J4LF	1k 4-resistor series array	CAY16-102J4LFCT-ND	CAY16102J4LF	5225579	61J4751	1770133
RN1	1	Bourns	CAY16-103J4LF	10k 4-resistor series array	CAY16-103J4LFCT-ND	CAY16103J4LF	5225585	84W7218	1770137
R1, R2	2	Bourns	CR0603-JW-105GLF	1M resistor 5% 1/10W	CR0603-JW-105GLFCT-ND	CR0603JW105GLF		32K2615	2008367
Y2	1	Murata	CSTCE16M0V53-R0	16MHz resonator with built-in caps	490-1198-1-ND	CSTCE16M0V53R0	6241077	87X8657	2443265
RESET	1	TE Connectivity / Alcoswitch	FSM1LPATR	Tactile switch	450-1760-1-ND	1-1437565-8		14H0904	1570387
T1	1	Fairchild Semiconductor	FDN340P	20V P-type MOSFET	FDN340PCT-ND	FDN340P	6710435	67R2061	9846310
Z1, Z2	2	Bourns	CG0603MLC-05E	Low-capacitance varistor 5V WV	CG0603MLC-05ECT-ND	CG0603MLC05E		60H7367	1838966
